epoch,lr,steps,train_loss,val_loss,val_acc,val_wer
1,0.000937,23437,247.0,148.0,0.213,
2,0.00073,46874,222.0,143.0,0.246,
3,0.000596,70311,218.0,145.0,0.256,
4,0.000516,93748,216.0,145.0,0.253,
5,0.000462,117185,215.0,138.0,0.263,
6,0.000422,140622,214.0,138.0,0.263,
7,0.00039,164059,213.0,141.0,0.264,
8,0.000365,187496,213.0,142.0,0.269,
9,0.000344,210933,213.0,152.0,0.271,
10,0.000327,234370,212.0,154.0,0.269,96.63
11,0.000311,257807,212.0,153.0,0.268,
12,0.000298,281244,212.0,147.0,0.271,
13,0.000286,304681,212.0,140.0,0.277,
14,0.000276,328118,211.0,148.0,0.273,
15,0.000267,351555,211.0,149.0,0.273,
16,0.000258,374992,211.0,149.0,0.27,
17,0.00025,398429,211.0,145.0,0.271,
18,0.000243,421866,211.0,147.0,0.271,
19,0.000237,445303,211.0,148.0,0.271,
20,0.000231,468740,211.0,146.0,0.27,97.65
21,0.000225,492177,211.0,148.0,0.267,
22,0.00022,515614,211.0,149.0,0.265,
23,0.000215,539051,211.0,144.0,0.271,
24,0.000211,562488,211.0,149.0,0.267,
25,0.000207,585925,211.0,149.0,0.268,
26,0.000203,609362,210.0,140.0,0.27,
27,0.000199,632799,210.0,152.0,0.267,
28,0.000195,656236,210.0,149.0,0.27,
29,0.000192,679673,210.0,147.0,0.272,
30,0.000189,703110,210.0,149.0,0.269,97.03
31,0.000185,726547,210.0,154.0,0.267,
32,0.000183,749984,210.0,151.0,0.269,
33,0.00018,773421,210.0,155.0,0.263,
34,0.000177,796858,210.0,155.0,0.263,
35,0.000175,820295,210.0,137.0,0.278,
36,0.000172,843732,210.0,149.0,0.27,
37,0.00017,867169,210.0,139.0,0.275,
38,0.000168,890606,210.0,138.0,0.275,
39,0.000165,914043,210.0,137.0,0.274,
40,0.000163,937480,210.0,139.0,0.269,100.0
41,0.000161,960917,210.0,140.0,0.274,
42,0.000159,984354,210.0,153.0,0.268,
43,0.000158,1007791,210.0,156.0,0.266,
44,0.000156,1031228,210.0,152.0,0.268,
45,0.000154,1054665,210.0,139.0,0.272,
46,0.000152,1078102,210.0,146.0,0.274,
47,0.000151,1101539,210.0,138.0,0.272,
48,0.000149,1124976,210.0,138.0,0.274,
49,0.000148,1148413,210.0,147.0,0.271,
50,0.000146,1171850,210.0,136.0,0.281,97.83
51,0.000145,1195287,210.0,137.0,0.276,
52,0.000143,1218724,210.0,142.0,0.276,
53,0.000142,1242161,210.0,139.0,0.269,
54,0.000141,1265598,210.0,138.0,0.28,
55,0.000139,1289035,210.0,135.0,0.281,
56,0.000138,1312472,210.0,147.0,0.276,
57,0.000137,1335909,210.0,134.0,0.282,
58,0.000136,1359346,209.0,138.0,0.278,
59,0.000134,1382783,209.0,144.0,0.278,
60,0.000133,1406220,209.0,140.0,0.272,95.55
61,0.000132,1429657,209.0,138.0,0.273,
62,0.000131,1453094,209.0,140.0,0.281,
63,0.00013,1476531,209.0,135.0,0.279,
64,0.000129,1499968,209.0,136.0,0.276,
65,0.000128,1523405,209.0,138.0,0.28,
66,0.000127,1546842,209.0,139.0,0.28,
67,0.000126,1570279,209.0,137.0,0.28,
68,0.000125,1593716,209.0,136.0,0.281,
69,0.000124,1617153,209.0,136.0,0.28,
70,0.000123,1640590,209.0,136.0,0.281,95.7
71,0.000123,1664027,209.0,139.0,0.282,
72,0.000122,1687464,209.0,137.0,0.28,
73,0.000121,1710901,209.0,138.0,0.271,
74,0.00012,1734338,209.0,140.0,0.281,
75,0.000119,1757775,209.0,139.0,0.272,
76,0.000118,1781212,209.0,138.0,0.279,
77,0.000118,1804649,209.0,138.0,0.274,
78,0.000117,1828086,209.0,136.0,0.281,
79,0.000116,1851523,209.0,138.0,0.278,
80,0.000115,1874960,209.0,141.0,0.268,96.34
81,0.000115,1898397,209.0,136.0,0.28,
82,0.000114,1921834,209.0,139.0,0.269,
83,0.000113,1945271,209.0,141.0,0.264,
84,0.000113,1968708,209.0,136.0,0.28,
85,0.000112,1992145,209.0,136.0,0.277,
86,0.000111,2015582,209.0,139.0,0.272,
87,0.000111,2039019,209.0,139.0,0.269,
88,0.00011,2062456,209.0,138.0,0.277,
89,0.000109,2085893,209.0,135.0,0.278,
90,0.000109,2109330,209.0,138.0,0.276,95.1
91,0.000108,2132767,209.0,137.0,0.279,
92,0.000108,2156204,209.0,139.0,0.276,
93,0.000107,2179641,209.0,137.0,0.277,
94,0.000107,2203078,209.0,137.0,0.278,
95,0.000106,2226515,209.0,137.0,0.278,
96,0.000105,2249952,209.0,136.0,0.281,
97,0.000105,2273389,209.0,137.0,0.279,
98,0.000104,2296826,209.0,137.0,0.278,
99,0.000104,2320263,209.0,138.0,0.274,
100,0.000103,2343700,209.0,138.0,0.276,96.7
101,0.000103,2367137,209.0,138.0,0.276,
102,0.000102,2390574,209.0,138.0,0.275,
103,0.000102,2414011,209.0,138.0,0.282,
104,0.000101,2437448,209.0,139.0,0.278,
105,0.000101,2460885,209.0,137.0,0.279,
106,0.0001,2484322,209.0,139.0,0.277,
107,9.98e-05,2507759,209.0,139.0,0.279,
108,9.94e-05,2531196,209.0,139.0,0.279,
109,9.89e-05,2554633,209.0,139.0,0.273,
110,9.85e-05,2578070,209.0,137.0,0.277,96.25
